"Target gene symbol","Target gene ID","Target gene type","Target gene exp. level","Binding site records"
"C5orf15","ENSG00000113583","protein_coding","C5orf15","1"
"C5orf24","ENSG00000181904","protein_coding","C5orf24","4"
"C5orf30","ENSG00000181751","protein_coding","C5orf30","3"
"C5orf42","ENSG00000197603","protein_coding","C5orf42","5"
"C5orf54","ENSG00000221886","protein_coding","C5orf54","1"
"C6orf48","ENSG00000204387","protein_coding","C6orf48","9"
"C8orf44-SGK3","ENSG00000270024","protein_coding","C8orf44-SGK3","2"
"C9orf3","ENSG00000148120","protein_coding","C9orf3","10"
"CA2","ENSG00000104267","protein_coding","CA2","1"
"CAAP1","ENSG00000120159","protein_coding","CAAP1","5"
"CACNA2D3","ENSG00000157445","protein_coding","CACNA2D3","23"
"CACNB2","ENSG00000165995","protein_coding","CACNB2","10"
"CACNB4","ENSG00000182389","protein_coding","CACNB4","2"
"CACUL1","ENSG00000151893","protein_coding","CACUL1","1"
"CAD","ENSG00000084774","protein_coding","CAD","2"
"CALM1","ENSG00000198668","protein_coding","CALM1","7"
"CALM2","ENSG00000143933","protein_coding","CALM2","5"
"CALN1","ENSG00000183166","protein_coding","CALN1","3"
"CAMLG","ENSG00000164615","protein_coding","CAMLG","2"
"CAMTA1","ENSG00000171735","protein_coding","CAMTA1","2"
"CAND1","ENSG00000111530","protein_coding","CAND1","2"
"CANX","ENSG00000127022","protein_coding","CANX","16"
"CAPN7","ENSG00000131375","protein_coding","CAPN7","1"
"CAPRIN1","ENSG00000135387","protein_coding","CAPRIN1","2"
"CAPZA1","ENSG00000116489","protein_coding","CAPZA1","3"
"CARKD","ENSG00000213995","protein_coding","CARKD","5"
"CASC5","ENSG00000137812","protein_coding","CASC5","3"
"CASC7","ENSG00000259758","lincRNA","CASC7","1"
"CASP10","ENSG00000003400","protein_coding","CASP10","5"
"CASZ1","ENSG00000130940","protein_coding","CASZ1","2"
"CBFA2T3","ENSG00000129993","protein_coding","CBFA2T3","10"
"CBFB","ENSG00000067955","protein_coding","CBFB","4"
"CBR1","ENSG00000159228","protein_coding","CBR1","1"
"CBX2","ENSG00000173894","protein_coding","CBX2","1"
"CBX3","ENSG00000122565","protein_coding","CBX3","3"
"CBX4","ENSG00000141582","protein_coding","CBX4","1"
"CCAR2","ENSG00000158941","protein_coding","CCAR2","4"
"CCDC124","ENSG00000007080","protein_coding","CCDC124","6"
"CCDC14","ENSG00000175455","protein_coding","CCDC14","1"
"CCDC151","ENSG00000198003","protein_coding","CCDC151","4"
"CCDC174","ENSG00000154781","protein_coding","CCDC174","2"
"CCDC28A","ENSG00000024862","protein_coding","CCDC28A","1"
"CCDC39","ENSG00000145075","protein_coding","CCDC39","3"
"CCDC57","ENSG00000176155","protein_coding","CCDC57","6"
"CCDC58","ENSG00000160124","protein_coding","CCDC58","7"
"CCDC62","ENSG00000130783","protein_coding","CCDC62","1"
"CCDC96","ENSG00000173013","protein_coding","CCDC96","1"
"CCNB1","ENSG00000134057","protein_coding","CCNB1","4"
"CCNC","ENSG00000112237","protein_coding","CCNC","2"
"CCNG1","ENSG00000113328","protein_coding","CCNG1","2"
"CCNI","ENSG00000118816","protein_coding","CCNI","4"
"CCSER2","ENSG00000107771","protein_coding","CCSER2","2"
"CCT2","ENSG00000166226","protein_coding","CCT2","4"
"CCT3","ENSG00000163468","protein_coding","CCT3","6"
"CCT5","ENSG00000150753","protein_coding","CCT5","10"
"CCT7","ENSG00000135624","protein_coding","CCT7","6"
"CCT8","ENSG00000156261","protein_coding","CCT8","11"
"CD46","ENSG00000117335","protein_coding","CD46","11"
"CD59","ENSG00000085063","protein_coding","CD59","4"
